,id,word,confidence,positivity,negativity,sense
6,00875422-a,توانا,0.56,0.5,0.0,1
9,01261363-a,توانا,0.1,0.5,0.0,1
21,01961786-a,توانا,0.25,0.0,0.5,0
22,01991586-a,توانا,0.14,0.625,0.0,1
23,02038891-a,توانا,0.41,0.5,0.5,1
24,02038994-a,توانا,0.26,0.5,0.25,1
25,02039845-a,توانا,0.32,0.5,0.0,1
26,02275412-a,توانا,0.1,0.75,0.0,1
27,02295098-a,توانا,0.56,0.5,0.125,1
28,02321009-a,توانا,0.32,0.5,0.0,1
41,00002098-a,عاجز,1.0,0.0,0.75,0
42,00051696-a,عاجز,0.18,0.0,0.5,0
46,00308188-a,عاجز,0.49,0.0,0.75,0
47,00843046-a,عاجز,0.36,0.0,0.625,0
48,01229020-a,عاجز,0.39,0.0,0.75,0
49,01229435-a,عاجز,0.11,0.5,0.5,1
50,01230153-a,عاجز,0.28,0.0,0.75,0
54,01825310-a,عاجز,0.59,0.125,0.5,1
55,01825550-a,عاجز,0.14,0.0,0.5,0
57,01827766-a,عاجز,0.45,0.125,0.5,1
58,01827946-a,عاجز,0.42,0.0,0.5,0
61,02324944-a,عاجز,0.37,0.0,0.5,0
62,02325097-a,عاجز,0.12,0.0,0.5,0
64,02364066-a,عاجز,0.64,0.0,0.625,0
65,02432428-a,عاجز,0.29,0.5,0.125,1
69,00002098-a,ناتوان,0.75,0.0,0.75,0
70,00051696-a,ناتوان,0.58,0.0,0.5,0
74,00308188-a,ناتوان,0.53,0.0,0.75,0
78,00693356-a,ناتوان,0.18,0.0,0.75,0
82,00843046-a,ناتوان,1.0,0.0,0.625,0
84,00876204-a,ناتوان,0.61,0.5,0.125,1
91,01050890-a,ناتوان,0.35,0.125,0.875,1
92,01070002-a,ناتوان,0.36,0.0,0.5,0
94,01168166-a,ناتوان,1.0,0.0,0.5,0
95,01178134-a,ناتوان,0.29,0.0,0.875,0
97,01229435-a,ناتوان,0.14,0.5,0.5,1
99,01394558-a,ناتوان,0.19,0.0,0.625,0
104,01825310-a,ناتوان,1.0,0.125,0.5,1
105,01825550-a,ناتوان,0.7,0.0,0.5,0
107,01827766-a,ناتوان,0.44,0.125,0.5,1
108,01827946-a,ناتوان,0.38,0.0,0.5,0
109,01828242-a,ناتوان,0.31,0.125,0.5,1
113,02023661-a,ناتوان,0.11,0.0,0.75,0
114,02040049-a,ناتوان,0.4,0.0,0.625,0
118,02230471-a,ناتوان,0.37,0.125,0.5,1
119,02292797-a,ناتوان,0.25,0.5,0.0,1
122,02324397-a,ناتوان,0.37,0.125,0.5,1
124,02324944-a,ناتوان,0.73,0.0,0.5,0
125,02325097-a,ناتوان,0.42,0.0,0.5,0
128,02326342-a,ناتوان,0.28,0.25,0.75,1
129,02326482-a,ناتوان,0.15,0.5,0.25,1
130,02364066-a,ناتوان,0.7,0.0,0.625,0
131,02403671-a,ناتوان,0.11,0.125,0.5,1
132,02404421-a,ناتوان,0.33,0.0,0.625,0
133,02432428-a,ناتوان,0.34,0.5,0.125,1
135,02433365-a,ناتوان,1.0,0.125,0.75,1
137,02524443-a,ناتوان,0.12,0.0,0.75,0
138,02542325-a,ناتوان,0.19,0.0,0.625,0
140,02647358-a,ناتوان,1.0,0.0,0.5,0
144,07478318-n,ناتوان,0.26,0.0,0.75,0
146,10214230-n,ناتوان,1.0,0.0,0.75,0
151,00002098-a,ضعیف,0.67,0.0,0.75,0
152,00051696-a,ضعیف,0.18,0.0,0.5,0
154,00096239-a,ضعیف,0.24,0.0,0.5,0
155,00265989-a,ضعیف,0.14,0.125,0.5,1
158,00308188-a,ضعیف,0.26,0.0,0.75,0
160,00438332-a,ضعیف,0.11,1.0,0.0,1
163,00693356-a,ضعیف,0.2,0.0,0.75,0
168,00843046-a,ضعیف,0.51,0.0,0.625,0
170,00876204-a,ضعیف,1.0,0.5,0.125,1
175,00990855-a,ضعیف,0.32,0.5,0.0,1
178,01070002-a,ضعیف,0.57,0.0,0.5,0
181,01394558-a,ضعیف,0.27,0.0,0.625,0
186,01825310-a,ضعیف,0.51,0.125,0.5,1
187,01827766-a,ضعیف,0.29,0.125,0.5,1
188,01828242-a,ضعیف,0.25,0.125,0.5,1
189,01872374-a,ضعیف,0.45,0.125,0.75,1
191,01942507-a,ضعیف,0.24,0.0,0.625,0
194,01998730-a,ضعیف,0.24,0.25,0.5,1
196,02040049-a,ضعیف,0.35,0.0,0.625,0
200,02230471-a,ضعیف,0.19,0.125,0.5,1
201,02292797-a,ضعیف,0.61,0.5,0.0,1
204,02324397-a,ضعیف,1.0,0.125,0.5,1
206,02324944-a,ضعیف,1.0,0.0,0.5,0
207,02325097-a,ضعیف,0.53,0.0,0.5,0
210,02326342-a,ضعیف,1.0,0.25,0.75,1
211,02326482-a,ضعیف,0.53,0.5,0.25,1
212,02364066-a,ضعیف,0.34,0.0,0.625,0
213,02403671-a,ضعیف,0.17,0.125,0.5,1
214,02404421-a,ضعیف,0.84,0.0,0.625,0
216,02433365-a,ضعیف,0.69,0.125,0.75,1
218,02524443-a,ضعیف,0.12,0.0,0.75,0
223,05896515-n,ضعیف,0.29,0.0,0.5,0
224,07478318-n,ضعیف,0.3,0.0,0.75,0
227,00002098-a,سست,0.35,0.0,0.75,0
229,00036998-a,سست,0.09,0.0,0.5,0
233,00040058-a,سست,0.7,0.0,0.75,0
234,00051696-a,سست,0.16,0.0,0.5,0
237,00189253-a,سست,0.33,0.5,0.125,1
239,00284400-a,سست,0.07,0.125,0.75,1
240,00294175-a,سست,0.57,0.0,0.625,0
244,00308188-a,سست,0.14,0.0,0.75,0
246,00438332-a,سست,0.19,1.0,0.0,1
249,00615457-a,سست,0.64,0.0,0.5,0
252,00693356-a,سست,0.14,0.0,0.75,0
257,00823192-a,سست,0.15,0.0,0.5,0
259,00843046-a,سست,0.96,0.0,0.625,0
261,00875962-a,سست,0.85,0.0,0.5,0
262,00876204-a,سست,0.61,0.5,0.125,1
265,00887472-a,سست,0.16,0.25,0.625,1
270,00990855-a,سست,0.45,0.5,0.0,1
272,01070002-a,سست,0.24,0.0,0.5,0
280,01394558-a,سست,0.15,0.0,0.625,0
284,01476325-a,سست,0.76,0.5,0.375,1
288,01825310-a,سست,0.82,0.125,0.5,1
289,01827766-a,سست,0.2,0.125,0.5,1
290,01828242-a,سست,0.29,0.125,0.5,1
291,01893510-a,سست,0.2,0.75,0.0,1
294,01941999-a,سست,0.24,0.0,0.75,0
296,01942507-a,سست,0.44,0.0,0.625,0
298,01984806-a,سست,0.21,0.0,0.625,0
299,01992712-a,سست,0.26,0.25,0.625,1
300,01998730-a,سست,0.91,0.25,0.5,1
301,02040049-a,سست,1.0,0.0,0.625,0
304,02095037-a,سست,0.15,0.0,0.75,0
306,02230471-a,سست,0.27,0.125,0.5,1
307,02292797-a,سست,0.93,0.5,0.0,1
312,02324397-a,سست,0.86,0.125,0.5,1
314,02324944-a,سست,0.55,0.0,0.5,0
315,02325097-a,سست,0.51,0.0,0.5,0
318,02326342-a,سست,0.24,0.25,0.75,1
319,02326482-a,سست,0.11,0.5,0.25,1
320,02346013-a,سست,0.39,0.125,0.875,1
321,02364066-a,سست,0.19,0.0,0.625,0
322,02403671-a,سست,0.46,0.125,0.5,1
324,02404421-a,سست,1.0,0.0,0.625,0
327,02432428-a,سست,0.25,0.5,0.125,1
329,02433365-a,سست,0.24,0.125,0.75,1
332,02497938-a,سست,0.14,0.375,0.5,1
333,02524443-a,سست,0.19,0.0,0.75,0
336,02647358-a,سست,0.49,0.0,0.5,0
